"turn","color","output","condition","time","score"
"GE01","azzurro","giornaliero","post","day_30",400
"GE01","azzurro","giornaliero","post","day_31",240
"GE01","azzurro","giornaliero","post","day_32",120
"GE01","azzurro","giornaliero","post","day_33",120
"GE01","azzurro","giornaliero","post","day_34",80
"GE01","azzurro","giornaliero","post","day_35",40
"GE01","azzurro","mucche","post","day_0",1
"GE01","azzurro","mucche","post","day_1",1
"GE01","azzurro","mucche","post","day_2",1
"GE01","azzurro","mucche","post","day_3",1
"GE01","azzurro","mucche","post","day_4",1
"GE01","azzurro","mucche","post","day_5",1
"GE01","azzurro","mucche","post","day_6",1
"GE01","azzurro","mucche","post","day_7",1
"GE01","azzurro","mucche","post","day_8",2
"GE01","azzurro","mucche","post","day_9",2
"GE01","azzurro","mucche","post","day_10",2
"GE01","azzurro","mucche","post","day_11",2
"GE01","azzurro","mucche","post","day_12",2
"GE01","azzurro","mucche","post","day_13",1
"GE01","azzurro","mucche","post","day_14",1
"GE01","azzurro","mucche","post","day_15",3
"GE01","azzurro","mucche","post","day_16",3
"GE01","azzurro","mucche","post","day_17",3
"GE01","azzurro","mucche","post","day_18",2
"GE01","azzurro","mucche","post","day_19",2
"GE01","azzurro","mucche","post","day_20",1
"GE01","azzurro","mucche","post","day_21",1
"GE01","azzurro","mucche","post","day_22",8
"GE01","azzurro","mucche","post","day_23",8
"GE01","azzurro","mucche","post","day_24",7
"GE01","azzurro","mucche","post","day_25",4
"GE01","azzurro","mucche","post","day_26",0
"GE01","azzurro","mucche","post","day_27",0
"GE01","azzurro","mucche","post","day_28",0
"GE01","azzurro","mucche","post","day_29",12
"GE01","azzurro","mucche","post","day_30",10
"GE01","azzurro","mucche","post","day_31",6
"GE01","azzurro","mucche","post","day_32",3
"GE01","azzurro","mucche","post","day_33",3
"GE01","azzurro","mucche","post","day_34",2
"GE01","azzurro","mucche","post","day_35",1
"GE01","azzurro","muccheperse","post","day_0",0
"GE01","azzurro","muccheperse","post","day_1",0
"GE01","azzurro","muccheperse","post","day_2",0
"GE01","azzurro","muccheperse","post","day_3",0
"GE01","azzurro","muccheperse","post","day_4",0
"GE01","azzurro","muccheperse","post","day_5",0
"GE01","azzurro","muccheperse","post","day_6",0
"GE01","azzurro","muccheperse","post","day_7",0
"GE01","azzurro","muccheperse","post","day_8",0
"GE01","azzurro","muccheperse","post","day_9",0
"GE01","azzurro","muccheperse","post","day_10",0
"GE01","azzurro","muccheperse","post","day_11",0
"GE01","azzurro","muccheperse","post","day_12",0
"GE01","azzurro","muccheperse","post","day_13",1
"GE01","azzurro","muccheperse","post","day_14",1
"GE01","azzurro","muccheperse","post","day_15",1
"GE01","azzurro","muccheperse","post","day_16",1
"GE01","azzurro","muccheperse","post","day_17",1
"GE01","azzurro","muccheperse","post","day_18",2
"GE01","azzurro","muccheperse","post","day_19",2
"GE01","azzurro","muccheperse","post","day_20",3
"GE01","azzurro","muccheperse","post","day_21",3
"GE01","azzurro","muccheperse","post","day_22",3
"GE01","azzurro","muccheperse","post","day_23",3
"GE01","azzurro","muccheperse","post","day_24",4
"GE01","azzurro","muccheperse","post","day_25",7
"GE01","azzurro","muccheperse","post","day_26",11
"GE01","azzurro","muccheperse","post","day_27",11
"GE01","azzurro","muccheperse","post","day_28",11
"GE01","azzurro","muccheperse","post","day_29",11
"GE01","azzurro","muccheperse","post","day_30",13
"GE01","azzurro","muccheperse","post","day_31",17
"GE01","azzurro","muccheperse","post","day_32",20
"GE01","azzurro","muccheperse","post","day_33",20
"GE01","azzurro","muccheperse","post","day_34",21
"GE01","azzurro","muccheperse","post","day_35",22
"GE01","azzurro","muccheslider","post","day_0",1
"GE01","azzurro","muccheslider","post","day_1",1
"GE01","azzurro","muccheslider","post","day_2",1
"GE01","azzurro","muccheslider","post","day_3",1
"GE01","azzurro","muccheslider","post","day_4",1
"GE01","azzurro","muccheslider","post","day_5",1
"GE01","azzurro","muccheslider","post","day_6",1
"GE01","azzurro","muccheslider","post","day_7",1
"GE01","azzurro","muccheslider","post","day_8",2
"GE01","azzurro","muccheslider","post","day_9",2
"GE01","azzurro","muccheslider","post","day_10",2
"GE01","azzurro","muccheslider","post","day_11",2
"GE01","azzurro","muccheslider","post","day_12",2
"GE01","azzurro","muccheslider","post","day_13",2
"GE01","azzurro","muccheslider","post","day_14",2
"GE01","azzurro","muccheslider","post","day_15",3
"GE01","azzurro","muccheslider","post","day_16",3
"GE01","azzurro","muccheslider","post","day_17",3
"GE01","azzurro","muccheslider","post","day_18",3
"GE01","azzurro","muccheslider","post","day_19",3
"GE01","azzurro","muccheslider","post","day_20",3
"GE01","azzurro","muccheslider","post","day_21",5
"GE01","azzurro","muccheslider","post","day_22",8
"GE01","azzurro","muccheslider","post","day_23",8
"GE01","azzurro","muccheslider","post","day_24",8
"GE01","azzurro","muccheslider","post","day_25",8
"GE01","azzurro","muccheslider","post","day_26",8
"GE01","azzurro","muccheslider","post","day_27",8
"GE01","azzurro","muccheslider","post","day_28",8
"GE01","azzurro","muccheslider","post","day_29",12
"GE01","azzurro","muccheslider","post","day_30",12
"GE01","azzurro","muccheslider","post","day_31",12
"GE01","azzurro","muccheslider","post","day_32",12
"GE01","azzurro","muccheslider","post","day_33",12
"GE01","azzurro","muccheslider","post","day_34",12
"GE01","azzurro","muccheslider","post","day_35",12
"GE01","blu","capital","post","day_0",10
"GE01","blu","capital","post","day_1",40
"GE01","blu","capital","post","day_2",70
"GE01","blu","capital","post","day_3",100
"GE01","blu","capital","post","day_4",130
"GE01","blu","capital","post","day_5",160
"GE01","blu","capital","post","day_6",190
"GE01","blu","capital","post","day_7",220
"GE01","blu","capital","post","day_8",220
"GE01","blu","capital","post","day_9",280
"GE01","blu","capital","post","day_10",340
"GE01","blu","capital","post","day_11",400
"GE01","blu","capital","post","day_12",460
"GE01","blu","capital","post","day_13",520
"GE01","blu","capital","post","day_14",580
"GE01","blu","capital","post","day_15",600
"GE01","blu","capital","post","day_16",750
"GE01","blu","capital","post","day_17",900
"GE01","blu","capital","post","day_18",1050
"GE01","blu","capital","post","day_19",1160
"GE01","blu","capital","post","day_20",1190
"GE01","blu","capital","post","day_21",1220
"GE01","blu","capital","post","day_22",1040
"GE01","blu","capital","post","day_23",1190
"GE01","blu","capital","post","day_24",1300
"GE01","blu","capital","post","day_25",1370
"GE01","blu","capital","post","day_26",1440
"GE01","blu","capital","post","day_27",1510
"GE01","blu","capital","post","day_28",1580
"GE01","blu","capital","post","day_29",2190
"GE01","blu","capital","post","day_30",2740
"GE01","blu","capital","post","day_31",2790
"GE01","blu","capital","post","day_32",2590
"GE01","blu","capital","post","day_33",2230
"GE01","blu","capital","post","day_34",1870
"GE01","blu","capital","post","day_35",1470
"GE01","blu","ccr","post","day_0",0
"GE01","blu","ccr","post","day_1",0
"GE01","blu","ccr","post","day_2",0
"GE01","blu","ccr","post","day_3",0
