"turn","color","output","condition","time","score","note"
"BR03","azzurro","capital","pre","0",10,"no malus, rinnovo energetico 0.35"
"BR03","azzurro","capital","pre","1",40,"no malus, rinnovo energetico 0.35"
"BR03","azzurro","capital","pre","2",70,"no malus, rinnovo energetico 0.35"
"BR03","azzurro","capital","pre","3",100,"no malus, rinnovo energetico 0.35"
"BR03","azzurro","capital","pre","4",130,"no malus, rinnovo energetico 0.35"
"BR03","azzurro","capital","pre","5",160,"no malus, rinnovo energetico 0.35"
"BR03","azzurro","capital","pre","6",190,"no malus, rinnovo energetico 0.35"
"BR03","azzurro","capital","pre","7",220,"no malus, rinnovo energetico 0.35"
"BR03","azzurro","capital","pre","8",260,"no malus, rinnovo energetico 0.35"
"BR03","azzurro","capital","pre","9",320,"no malus, rinnovo energetico 0.35"
"BR03","azzurro","capital","pre","10",380,"no malus, rinnovo energetico 0.35"
"BR03","azzurro","capital","pre","11",440,"no malus, rinnovo energetico 0.35"
"BR03","azzurro","capital","pre","12",500,"no malus, rinnovo energetico 0.35"
"BR03","azzurro","capital","pre","13",560,"no malus, rinnovo energetico 0.35"
"BR03","azzurro","capital","pre","14",620,"no malus, rinnovo energetico 0.35"
"BR03","azzurro","capital","pre","15",580,"no malus, rinnovo energetico 0.35"
"BR03","azzurro","capital","pre","16",640,"no malus, rinnovo energetico 0.35"
"BR03","azzurro","capital","pre","17",700,"no malus, rinnovo energetico 0.35"
"BR03","azzurro","capital","pre","18",760,"no malus, rinnovo energetico 0.35"
"BR03","azzurro","capital","pre","19",780,"no malus, rinnovo energetico 0.35"
"BR03","azzurro","capital","pre","20",800,"no malus, rinnovo energetico 0.35"
"BR03","azzurro","capital","pre","21",780,"no malus, rinnovo energetico 0.35"
"BR03","azzurro","capital","pre","22",780,"no malus, rinnovo energetico 0.35"
"BR03","azzurro","capital","pre","23",930,"no malus, rinnovo energetico 0.35"
"BR03","azzurro","capital","pre","24",1040,"no malus, rinnovo energetico 0.35"
"BR03","azzurro","capital","pre","25",1110,"no malus, rinnovo energetico 0.35"
"BR03","azzurro","capital","pre","26",1180,"no malus, rinnovo energetico 0.35"
"BR03","azzurro","capital","pre","27",1250,"no malus, rinnovo energetico 0.35"
"BR03","azzurro","capital","pre","28",1240,"no malus, rinnovo energetico 0.35"
"BR03","azzurro","ccr","pre","0",0,"no malus, rinnovo energetico 0.35"
"BR03","azzurro","ccr","pre","1",0,"no malus, rinnovo energetico 0.35"
"BR03","azzurro","ccr","pre","2",0,"no malus, rinnovo energetico 0.35"
"BR03","azzurro","ccr","pre","3",0,"no malus, rinnovo energetico 0.35"
"BR03","azzurro","ccr","pre","4",0,"no malus, rinnovo energetico 0.35"
