"turn","color","output","condition","time","score","note"
"BR01","azzurro","daysurvived","pre","20",20,"used malus 100 Euro costante"
"BR01","azzurro","daysurvived","pre","21",21,"used malus 100 Euro costante"
"BR01","azzurro","daysurvived","pre","22",22,"used malus 100 Euro costante"
"BR01","azzurro","daysurvived","pre","23",23,"used malus 100 Euro costante"
"BR01","azzurro","daysurvived","pre","24",24,"used malus 100 Euro costante"
"BR01","azzurro","daysurvived","pre","25",25,"used malus 100 Euro costante"
"BR01","azzurro","daysurvived","pre","26",26,"used malus 100 Euro costante"
"BR01","azzurro","daysurvived","pre","27",27,"used malus 100 Euro costante"
"BR01","azzurro","daysurvived","pre","28",28,"used malus 100 Euro costante"
"BR01","azzurro","energiaaquisita","pre","0",0,"used malus 100 Euro costante"
"BR01","azzurro","energiaaquisita","pre","1",40,"used malus 100 Euro costante"
"BR01","azzurro","energiaaquisita","pre","2",80,"used malus 100 Euro costante"
"BR01","azzurro","energiaaquisita","pre","3",120,"used malus 100 Euro costante"
"BR01","azzurro","energiaaquisita","pre","4",160,"used malus 100 Euro costante"
"BR01","azzurro","energiaaquisita","pre","5",200,"used malus 100 Euro costante"
"BR01","azzurro","energiaaquisita","pre","6",240,"used malus 100 Euro costante"
"BR01","azzurro","energiaaquisita","pre","7",280,"used malus 100 Euro costante"
"BR01","azzurro","energiaaquisita","pre","8",360,"used malus 100 Euro costante"
"BR01","azzurro","energiaaquisita","pre","9",440,"used malus 100 Euro costante"
"BR01","azzurro","energiaaquisita","pre","10",520,"used malus 100 Euro costante"
"BR01","azzurro","energiaaquisita","pre","11",600,"used malus 100 Euro costante"
"BR01","azzurro","energiaaquisita","pre","12",680,"used malus 100 Euro costante"
"BR01","azzurro","energiaaquisita","pre","13",760,"used malus 100 Euro costante"
"BR01","azzurro","energiaaquisita","pre","14",840,"used malus 100 Euro costante"
"BR01","azzurro","energiaaquisita","pre","15",1640,"used malus 100 Euro costante"
"BR01","azzurro","energiaaquisita","pre","16",2400,"used malus 100 Euro costante"
"BR01","azzurro","energiaaquisita","pre","17",3120,"used malus 100 Euro costante"
"BR01","azzurro","energiaaquisita","pre","18",3680,"used malus 100 Euro costante"
"BR01","azzurro","energiaaquisita","pre","19",4150,"used malus 100 Euro costante"
"BR01","azzurro","energiaaquisita","pre","20",4550,"used malus 100 Euro costante"
"BR01","azzurro","energiaaquisita","pre","21",4910,"used malus 100 Euro costante"
"BR01","azzurro","energiaaquisita","pre","22",6910,"used malus 100 Euro costante"
"BR01","azzurro","energiaaquisita","pre","23",8490,"used malus 100 Euro costante"
"BR01","azzurro","energiaaquisita","pre","24",9670,"used malus 100 Euro costante"
"BR01","azzurro","energiaaquisita","pre","25",10420,"used malus 100 Euro costante"
"BR01","azzurro","energiaaquisita","pre","26",10820,"used malus 100 Euro costante"
"BR01","azzurro","energiaaquisita","pre","27",11140,"used malus 100 Euro costante"
"BR01","azzurro","energiaaquisita","pre","28",11420,"used malus 100 Euro costante"
"BR01","azzurro","giornaliero","pre","0",0,"used malus 100 Euro costante"
"BR01","azzurro","giornaliero","pre","1",40,"used malus 100 Euro costante"
"BR01","azzurro","giornaliero","pre","2",40,"used malus 100 Euro costante"
"BR01","azzurro","giornaliero","pre","3",40,"used malus 100 Euro costante"
"BR01","azzurro","giornaliero","pre","4",40,"used malus 100 Euro costante"
"BR01","azzurro","giornaliero","pre","5",40,"used malus 100 Euro costante"
"BR01","azzurro","giornaliero","pre","6",40,"used malus 100 Euro costante"
"BR01","azzurro","giornaliero","pre","7",40,"used malus 100 Euro costante"
"BR01","azzurro","giornaliero","pre","8",80,"used malus 100 Euro costante"
"BR01","azzurro","giornaliero","pre","9",80,"used malus 100 Euro costante"
"BR01","azzurro","giornaliero","pre","10",80,"used malus 100 Euro costante"
"BR01","azzurro","giornaliero","pre","11",80,"used malus 100 Euro costante"
"BR01","azzurro","giornaliero","pre","12",80,"used malus 100 Euro costante"
"BR01","azzurro","giornaliero","pre","13",80,"used malus 100 Euro costante"
"BR01","azzurro","giornaliero","pre","14",80,"used malus 100 Euro costante"
"BR01","azzurro","giornaliero","pre","15",800,"used malus 100 Euro costante"
"BR01","azzurro","giornaliero","pre","16",760,"used malus 100 Euro costante"
"BR01","azzurro","giornaliero","pre","17",720,"used malus 100 Euro costante"
"BR01","azzurro","giornaliero","pre","18",560,"used malus 100 Euro costante"
"BR01","azzurro","giornaliero","pre","19",470,"used malus 100 Euro costante"
