"turn","color","output","condition","time","score","note"
"BR02","azzurro","capital","pre","0",10,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","capital","pre","1",40,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","capital","pre","2",70,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","capital","pre","3",100,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","capital","pre","4",130,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","capital","pre","5",160,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","capital","pre","6",190,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","capital","pre","7",220,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","capital","pre","8",220,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","capital","pre","9",280,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","capital","pre","10",300,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","capital","pre","11",320,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","capital","pre","12",300,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","capital","pre","13",280,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","capital","pre","14",260,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","capital","pre","15",300,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","capital","pre","16",420,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","capital","pre","17",540,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","capital","pre","18",660,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","capital","pre","19",780,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","capital","pre","20",900,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","capital","pre","21",1020,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","capital","pre","22",1040,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","capital","pre","23",1130,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","capital","pre","24",1130,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","capital","pre","25",1100,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","capital","pre","26",1070,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","capital","pre","27",1040,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","capital","pre","28",1010,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","capital","pre","29",NA,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","capital","pre","30",NA,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","capital","pre","31",NA,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","capital","pre","32",NA,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","capital","pre","33",NA,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","capital","pre","34",NA,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","capital","pre","35",NA,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","ccr","pre","0",0,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","ccr","pre","1",0,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","ccr","pre","2",0,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","ccr","pre","3",0,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","ccr","pre","4",0,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","ccr","pre","5",0,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","ccr","pre","6",0,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","ccr","pre","7",0,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","ccr","pre","8",50,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","ccr","pre","9",50,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","ccr","pre","10",50,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","ccr","pre","11",50,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","ccr","pre","12",50,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","ccr","pre","13",50,"no malus, rinnovo energetico 0.35"
"BR02","azzurro","ccr","pre","14",50,"no malus, rinnovo energetico 0.35"
